tanggal,judul,link
2020-12-12,[SALAH] Telapak Kaki Relawan Melepuh Efek Samping Suntik Vaksin Covid-19,https://covid19.go.id/p/hoax-buster/salah-telapak-kaki-relawan-melepuh-efek-samping-suntik-vaksin-covid-19
2020-12-11,"[SALAH] COVID-19 Merupakan Buatan Manusia sebagai Senjata Biologis dari Carolina Utara, Amerika Serikat dan Pasien Nol Bernama Maatje Benassi",https://covid19.go.id/p/hoax-buster/salah-covid-19-merupakan-buatan-manusia-sebagai-senjata-biologis-dari-carolina-utara-amerika-serikat-dan-pasien-nol-bernama-maatje-benassi
2020-12-11,[SALAH] Jangan Datang ke Jalan Melong Cikawao karena Satu RT Positif Covid-19,https://covid19.go.id/p/hoax-buster/salah-jangan-datang-ke-jalan-melong-cikawao-karena-satu-rt-positif-covid-19
2020-12-10,[SALAH] Sidak Masker di Wilayah Kabupaten Jepara Hingga 31 Desember 2020,https://covid19.go.id/p/hoax-buster/salah-sidak-masker-di-wilayah-kabupaten-jepara-hingga-31-desember-2020
2020-12-09,[SALAH] Link Untuk Mendapatkan 35 GB Kuota Gratis dari Operator,https://covid19.go.id/p/hoax-buster/salah-link-untuk-mendapatkan-35-gb-kuota-gratis-dari-operator
2020-12-08,[SALAH] Minum Minyak Kayu Putih Dapat Menyembuhkan COVID-19,https://covid19.go.id/p/hoax-buster/salah-minum-minyak-kayu-putih-dapat-menyembuhkan-covid-19
2020-12-08,[SALAH] China Sembuh dari COVID-19 Tanpa Vaksin,https://covid19.go.id/p/hoax-buster/salah-china-sembuh-dari-covid-19-tanpa-vaksin
2020-12-07,[SALAH] Gratis Langganan Netflix Selama Satu Tahun karena Pandemi Covid-19,https://covid19.go.id/p/hoax-buster/salah-gratis-langganan-netflix-selama-satu-tahun-karena-pandemi-covid-19
2020-12-07,[SALAH] Pesan WhatsApp Soal Razia Keliling Serempak Se-Jawa Barat,https://covid19.go.id/p/hoax-buster/salah-pesan-whatsapp-soal-razia-keliling-serempak-se-jawa-barat
2020-12-07,[SALAH] Kopi Bisa Cegah dan Sembuhkan Covid-19,https://covid19.go.id/p/hoax-buster/salah-kopi-bisa-cegah-dan-sembuhkan-covid-19
2020-12-07,[SALAH] “Baru sehari mentrinya jd TSK bantuan covid.19 yg ditilep. Hari ini kantor kemensos terbakar”,https://covid19.go.id/p/hoax-buster/salah-baru-sehari-mentrinya-jd-tsk-bantuan-covid19-yg-ditilep-hari-ini-kantor-kemensos-terbakar
2020-12-06,[SALAH] Pemasangan Barcode pada Badan Manusia,https://covid19.go.id/p/hoax-buster/salah-pemasangan-barcode-pada-badan-manusia
